round_id,round_name,table,qr_value,competitor_name,city,username
round_1,Individual Round 1,1,PZZLD-019f765d-ec1e-7280-a54e-90171dd3164e,Puzzler AAA,"Boston, Massachusetts",@puzzleraaa
round_1,Individual Round 1,2,PZZLD-019f765d-ec1f-71b0-9efc-45f11de36016,Puzzler AAB,"Austin, Texas",@puzzleraab
round_1,Individual Round 1,3,PZZLD-019f765d-ec20-72ae-b939-75ef31231d27,Puzzler AAC,"Vancouver, British Columbia",@puzzleraac
round_1,Individual Round 1,4,PZZLD-019f765d-ec21-709f-ae6b-6715946f31f7,Puzzler AAD,"Denver, Colorado",@puzzleraad
round_1,Individual Round 1,5,PZZLD-019f765d-ec21-709f-ae6b-671594b06ccc,Puzzler AAE,"Madison, Wisconsin",@puzzleraae
round_1,Individual Round 1,6,PZZLD-019f765d-ec23-7337-bf47-59eb8083fc1f,Puzzler AAF,"Minneapolis, Minnesota",@puzzleraaf
round_1,Individual Round 1,7,PZZLD-019f765d-ec24-71e3-a2e9-903bb0a1c4f4,Puzzler AAG,"Seattle, Washington",@puzzleraag
round_1,Individual Round 1,8,PZZLD-019f765d-ec25-71a2-ab4e-3d952b2b1f29,Puzzler AAH,"Toronto, Ontario",@puzzleraah
round_1,Individual Round 1,9,PZZLD-019f765d-ec26-703e-9758-c81e30d0e287,Puzzler AAI,"Chicago, Illinois",@puzzleraai
round_1,Individual Round 1,10,PZZLD-019f765d-ec27-7064-be92-b332c1935d10,Puzzler AAJ,"Phoenix, Arizona",@puzzleraaj
round_1,Individual Round 1,11,PZZLD-019f765d-ec28-71ea-b04f-eab74b5e3deb,Puzzler AAK,"San Diego, California",@puzzleraak
round_1,Individual Round 1,12,PZZLD-019f765d-ec28-71ea-b04f-eab74bc9fafd,Puzzler AAL,"Portland, Oregon",@puzzleraal
round_1,Individual Round 1,13,PZZLD-019f765d-ec2a-709c-a59d-e441f81a2fe2,Puzzler AAM,"Boston, Massachusetts",@puzzleraam
round_1,Individual Round 1,14,PZZLD-019f765d-ec2a-709c-a59d-e441f8ea3547,Puzzler AAN,"Austin, Texas",@puzzleraan
round_1,Individual Round 1,15,PZZLD-019f765d-ec2b-7350-9ce4-e5e82fb13a74,Puzzler AAO,"Vancouver, British Columbia",@puzzleraao
round_1,Individual Round 1,16,PZZLD-019f765d-ec2c-72a6-8d71-ad3f4efa7ec3,Puzzler AAP,"Denver, Colorado",@puzzleraap
round_1,Individual Round 1,17,PZZLD-019f765d-ec2d-7355-b365-968331a860c8,Puzzler AAQ,"Madison, Wisconsin",@puzzleraaq
round_1,Individual Round 1,18,PZZLD-019f765d-ec2e-722f-b183-e70f70afd930,Puzzler AAR,"Minneapolis, Minnesota",@puzzleraar
round_1,Individual Round 1,19,PZZLD-019f765d-ec2f-7076-a84b-b7a49d728019,Puzzler AAS,"Seattle, Washington",@puzzleraas
round_1,Individual Round 1,20,PZZLD-019f765d-ec30-735c-a40f-54a917a9ec91,Puzzler AAT,"Toronto, Ontario",@puzzleraat
round_1,Individual Round 1,21,PZZLD-019f765d-ec30-735c-a40f-54a91899e16d,Puzzler AAU,"Chicago, Illinois",@puzzleraau
round_1,Individual Round 1,22,PZZLD-019f765d-ec31-7000-8c87-10d88f10863e,Puzzler AAV,"Phoenix, Arizona",@puzzleraav
round_1,Individual Round 1,23,PZZLD-019f765d-ec32-70ac-9908-117138bcf9f6,Puzzler AAW,"San Diego, California",@puzzleraaw
round_1,Individual Round 1,24,PZZLD-019f765d-ec32-70ac-9908-11713979db84,Puzzler AAX,"Portland, Oregon",@puzzleraax
round_1,Individual Round 1,25,PZZLD-019f765d-ec33-71a0-afbe-da2f8a75de3b,Puzzler AAY,"Boston, Massachusetts",@puzzleraay
round_1,Individual Round 1,26,PZZLD-019f765d-ec34-7038-80b3-d2dbce9a19af,Puzzler AAZ,"Austin, Texas",@puzzleraaz
round_1,Individual Round 1,27,PZZLD-019f765d-ec36-70a9-9413-06f7c7ee2808,Puzzler ABA,"Vancouver, British Columbia",@puzzleraba
round_1,Individual Round 1,28,PZZLD-019f765d-ec37-7134-9e51-0ed722afe597,Puzzler ABB,"Denver, Colorado",@puzzlerabb
round_1,Individual Round 1,29,PZZLD-019f765d-ec37-7134-9e51-0ed7235d5048,Puzzler ABC,"Madison, Wisconsin",@puzzlerabc
round_1,Individual Round 1,30,PZZLD-019f765d-ec38-721d-8d85-a184fb48315f,Puzzler ABD,"Minneapolis, Minnesota",@puzzlerabd
round_1,Individual Round 1,31,PZZLD-019f765d-ec38-721d-8d85-a184fc2501df,Puzzler ABE,"Seattle, Washington",@puzzlerabe
round_1,Individual Round 1,32,PZZLD-019f765d-ec3a-704f-81cb-142e0737f500,Puzzler ABF,"Toronto, Ontario",@puzzlerabf
round_1,Individual Round 1,33,PZZLD-019f765d-ec3b-7092-b9eb-9bcb203cad03,Puzzler ABG,"Chicago, Illinois",@puzzlerabg
round_1,Individual Round 1,34,PZZLD-019f765d-ec3c-7223-8464-5ea35d028e4e,Puzzler ABH,"Phoenix, Arizona",@puzzlerabh
round_1,Individual Round 1,35,PZZLD-019f765d-ec3c-7223-8464-5ea35d23485f,Puzzler ABI,"San Diego, California",@puzzlerabi
round_1,Individual Round 1,36,PZZLD-019f765d-ec3d-7013-bf3b-d4aa2e41fdcb,Puzzler ABJ,"Portland, Oregon",@puzzlerabj
round_1,Individual Round 1,37,PZZLD-019f765d-ec3e-7061-bd15-4eb04837ab18,Puzzler ABK,"Boston, Massachusetts",@puzzlerabk
round_1,Individual Round 1,38,PZZLD-019f765d-ec3f-71d0-bd79-a0fbdecb5fbd,Puzzler ABL,"Austin, Texas",@puzzlerabl
round_1,Individual Round 1,39,PZZLD-019f765d-ec3f-71d0-bd79-a0fbdf7d6485,Puzzler ABM,"Vancouver, British Columbia",@puzzlerabm
round_1,Individual Round 1,40,PZZLD-019f765d-ec40-714d-b808-533d96786413,Puzzler ABN,"Denver, Colorado",@puzzlerabn
round_1,Individual Round 1,41,PZZLD-019f765d-ec41-7244-a0e8-6041a01181e0,Puzzler ABO,"Madison, Wisconsin",@puzzlerabo
round_1,Individual Round 1,42,PZZLD-019f765d-ec41-7244-a0e8-6041a0143285,Puzzler ABP,"Minneapolis, Minnesota",@puzzlerabp
round_1,Individual Round 1,43,PZZLD-019f765d-ec42-7172-974b-8dd43c1ee20e,Puzzler ABQ,"Seattle, Washington",@puzzlerabq
